team_name,#,Player,GP,GS,Min,PTS,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
U18 Crvena Zvezda Belgrade,1,STRAHINJA DRAGICEVIC,4,0,24:12,0,0,2,0,0,0,4,0,3,3,1,0,4,0,2,7,3,-12
U18 Crvena Zvezda Belgrade,2,MILOS COPIC,4,2,68:28,8,1,1,2,10,0,0,2,3,5,3,2,3,0,0,5,0,2
U18 Crvena Zvezda Belgrade,3,ALEKSEJ NEDELJKOVIC,4,4,114:38,28,7,13,2,8,8,10,2,10,12,9,4,7,4,1,8,9,36
U18 Crvena Zvezda Belgrade,4,ANDREJ LUCIC,4,3,98:51,50,15,24,4,14,8,11,1,13,14,7,4,12,0,2,8,15,46
U18 Crvena Zvezda Belgrade,5,LAZAR STOJKOVIC,4,4,126:57,52,16,31,2,10,14,18,4,28,32,13,3,11,12,0,9,16,81
U18 Crvena Zvezda Belgrade,6,SAVA DJURIC,4,0,31:47,6,3,5,0,0,0,0,4,8,12,2,0,4,5,0,2,4,21
U18 Crvena Zvezda Belgrade,7,JOVAN BIKIC,4,1,94:11,44,7,17,6,10,12,19,3,15,18,13,2,12,0,0,8,19,55
U18 Crvena Zvezda Belgrade,8,MATIJA MORAVCEVIC,4,0,30:18,17,2,3,4,7,1,1,0,1,1,2,0,2,0,1,4,1,10
U18 Crvena Zvezda Belgrade,9,NOVAK PAVLOVIC,4,4,106:06,29,7,10,2,8,9,11,4,12,16,6,7,11,0,1,11,10,34
U18 Crvena Zvezda Belgrade,10,STEFAN MARJANOVIC,4,2,96:36,71,15,28,8,16,17,32,6,15,21,4,7,11,5,2,5,21,75
U18 Crvena Zvezda Belgrade,11,DUSAN MILOSAVLJEVIC,1,0,5:06,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,-1
U18 Crvena Zvezda Belgrade,12,TADIJA NEDELJKOVIC,2,0,2:50,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,-1
U18 Dolomiti Energia Trento,1,PATRICK HASSAN,4,4,144:44,51,6,26,12,26,3,7,2,7,9,20,9,17,0,1,7,16,42
U18 Dolomiti Energia Trento,2,NICOLA DORIGOTTI,4,0,35:16,9,0,0,3,12,0,0,0,0,0,2,2,4,0,0,0,0,0
U18 Dolomiti Energia Trento,3,CHEICKH NIANG,4,4,87:57,28,9,19,2,14,4,5,4,15,19,3,5,13,4,2,9,11,23
U18 Dolomiti Energia Trento,4,MATTIA CLAPS,4,0,11:35,0,0,0,0,2,0,0,1,3,4,0,1,1,0,0,3,1,0
U18 Dolomiti Energia Trento,5,VALENTIN CURBELO,4,2,54:12,12,5,10,0,6,2,6,2,2,4,4,2,7,0,1,3,9,5
U18 Dolomiti Energia Trento,6,PRINCE LUMENA,4,0,68:49,23,10,19,0,0,3,5,5,11,16,0,1,2,0,0,6,4,25
U18 Dolomiti Energia Trento,7,DIEGO ZANELLA,4,1,13:18,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,2,0,0
U18 Dolomiti Energia Trento,8,TOBIA TRIGGIANI,4,1,27:29,3,1,2,0,5,1,2,0,3,3,3,2,1,0,0,5,3,1
U18 Dolomiti Energia Trento,9,CESARE PLACINSCHI,4,3,111:05,34,16,31,0,6,2,3,3,17,20,9,3,7,2,0,11,8,36
U18 Dolomiti Energia Trento,10,OUMAR FALL,4,4,71:31,6,3,6,0,5,0,0,3,16,19,1,1,3,1,0,5,3,15
U18 Dolomiti Energia Trento,11,VITTORIO TRIGGIANI,4,1,70:32,17,6,11,0,6,5,7,11,5,16,4,1,2,1,0,5,5,24
U18 Dolomiti Energia Trento,12,MARIO MACHETTI,4,0,103:32,38,8,18,6,36,4,5,3,5,8,5,2,2,0,1,9,7,7
U18 EA7 Emporio Armani Milan,1,OMAR KAREM,4,0,96:11,30,6,14,6,18,0,0,4,10,14,12,4,7,0,1,9,5,28
U18 EA7 Emporio Armani Milan,2,BAPTISTE CHAUVEAU,3,0,15:59,2,1,2,0,3,0,0,0,0,0,1,0,3,0,0,2,0,-6
U18 EA7 Emporio Armani Milan,3,RICCARDO FORINI,3,0,13:14,5,0,0,1,3,2,2,0,1,1,0,0,2,0,0,1,2,3
U18 EA7 Emporio Armani Milan,4,GUGLIELMO YOUSSEF,4,2,78:21,24,10,21,1,8,1,4,4,10,14,4,2,5,0,0,12,3,9
U18 EA7 Emporio Armani Milan,5,LUIGI SUIGO,4,4,99:36,50,19,38,2,8,6,8,19,26,45,6,9,7,7,2,12,7,76
U18 EA7 Emporio Armani Milan,6,WERTHER BELLINASO,4,0,60:56,20,2,5,5,11,1,3,2,4,6,2,2,0,0,1,9,3,12
U18 EA7 Emporio Armani Milan,7,ACHILLE LONATI,4,4,96:35,63,13,20,11,40,4,5,1,10,11,15,2,13,1,1,12,7,36
U18 EA7 Emporio Armani Milan,8,DIEGO GARAVAGLIA,4,4,102:49,50,15,30,2,13,14,19,3,16,19,17,12,5,0,1,8,17,70
U18 EA7 Emporio Armani Milan,9,GIOVANNI CORTELLINO,4,2,55:41,7,2,6,1,4,0,0,3,6,9,4,2,9,0,0,7,6,5
U18 EA7 Emporio Armani Milan,10,MATTIA CECCATO,4,4,107:47,54,13,25,7,14,7,9,2,10,12,15,7,8,3,0,13,8,57
U18 EA7 Emporio Armani Milan,11,MATTIA GRASSI,3,0,21:38,11,5,8,0,3,1,1,2,2,4,0,3,0,0,0,2,1,11
U18 EA7 Emporio Armani Milan,12,FALLOU MBOW,4,0,51:13,11,5,6,0,0,1,2,7,15,22,0,3,4,4,0,12,4,26
U18 Joventut Badalona,1,ERIC DEL CASTILLO,4,4,104:49,46,17,32,3,4,3,3,6,5,11,9,5,4,1,2,12,7,45
U18 Joventut Badalona,2,DANIEL BALDE,4,0,91:48,29,13,32,1,8,0,0,4,15,19,8,10,12,1,0,10,0,19
U18 Joventut Badalona,3,SABA MEREBASHVILI,4,4,77:32,31,10,17,2,7,5,6,5,11,16,5,4,8,0,3,10,6,28
U18 Joventut Badalona,4,TERENCE KEKENBOSCH,2,0,38:52,22,4,7,3,11,5,6,0,3,3,1,1,7,0,1,2,3,8
U18 Joventut Badalona,5,HUMBERTO RUIZ,4,2,86:37,34,8,15,4,11,6,7,4,5,9,4,9,1,0,1,9,13,43
U18 Joventut Badalona,6,PAU PALLARES,3,0,9:28,2,1,1,0,1,0,0,0,2,2,1,1,0,0,0,3,0,2
U18 Joventut Badalona,7,IAN PLATTEEUW,4,4,136:13,65,30,69,1,2,2,10,29,31,60,17,6,17,1,6,7,15,86
U18 Joventut Badalona,8,PAU BATLLE,4,0,43:51,8,2,5,1,5,1,2,2,4,6,3,3,1,0,1,5,1,6
U18 Joventut Badalona,9,MARTI GIL,4,2,85:29,11,4,6,0,3,3,8,2,2,4,10,7,9,0,1,7,9,14
U18 Joventut Badalona,10,PAU BERMEJO,4,0,10:40,1,0,2,0,0,1,2,0,1,1,0,0,0,0,0,2,1,-2
U18 Joventut Badalona,11,TARIQ THOMAS,1,0,2:40,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,-2
U18 Joventut Badalona,12,HELMUTS PETROVICS,4,4,112:01,42,11,25,3,17,11,18,2,15,17,28,6,13,1,4,10,17,49
U18 Maccabi Tel Aviv,1,ROM STOLLER,4,0,43:49,11,3,4,1,2,2,2,3,3,6,1,1,2,0,0,3,4,16
U18 Maccabi Tel Aviv,2,TAMIR GOLD,3,3,74:58,20,8,19,1,9,1,1,2,8,10,2,2,6,0,2,8,6,5
U18 Maccabi Tel Aviv,3,NITAY DODO,4,2,64:18,23,8,22,2,7,1,2,4,4,8,4,1,8,0,2,6,4,4
U18 Maccabi Tel Aviv,4,ELI AGAMI,4,2,86:33,25,4,8,2,6,11,12,3,11,14,6,2,6,0,1,3,7,35
U18 Maccabi Tel Aviv,5,DIEGO GIUSTI,3,0,22:08,2,1,3,0,2,0,0,1,0,1,1,1,0,0,1,3,0,-3
U18 Maccabi Tel Aviv,6,ARBEL LACHMANOVICH,4,4,97:00,39,7,17,4,10,13,14,1,15,16,9,3,17,0,2,11,18,38
U18 Maccabi Tel Aviv,7,LIAM ALKOBI,3,0,21:38,6,3,3,0,1,0,0,1,3,4,0,0,1,1,0,2,0,7
U18 Maccabi Tel Aviv,8,ERAN BARAK,4,3,94:18,28,3,10,5,29,7,8,2,10,12,11,5,8,0,0,7,10,19
U18 Maccabi Tel Aviv,9,ROEE BERG,4,0,54:19,17,6,13,1,5,2,2,4,8,12,3,2,5,0,2,7,2,11
U18 Maccabi Tel Aviv,10,GABRIEL ARTMENKO,4,4,89:56,30,13,22,0,6,4,8,6,12,18,5,3,7,0,0,10,7,27
U18 Maccabi Tel Aviv,11,IFTAH SHALMON,4,2,73:37,12,4,10,1,4,1,3,2,7,9,6,3,6,0,1,6,3,9
U18 Maccabi Tel Aviv,12,KEREM ASHKENAZI,4,0,77:26,21,7,17,2,9,1,2,2,4,6,7,4,11,1,2,5,6,9
U18 Next Gen Team Belgrade,1,AARON TOWO-NANSI,4,4,117:02,82,15,32,10,26,22,26,0,11,11,17,12,8,0,1,7,26,95
U18 Next Gen Team Belgrade,2,BARTOSZ LAZARSKI,4,1,59:13,25,1,5,6,12,5,7,2,9,11,5,2,9,3,0,8,9,26
U18 Next Gen Team Belgrade,3,BRUNO RANDUSKA,4,3,56:16,7,2,9,1,7,0,0,3,2,5,3,3,2,0,2,8,1,-6
U18 Next Gen Team Belgrade,4,FEDERICO BOTTELLI,4,1,40:36,7,1,2,1,6,2,2,0,4,4,3,4,6,0,0,0,6,12
U18 Next Gen Team Belgrade,5,SACHA DEFOUNDOUX,4,2,61:48,14,1,4,4,9,0,2,1,5,6,3,2,4,3,0,7,4,11
U18 Next Gen Team Belgrade,6,AKRAM NAJI,4,1,80:39,34,10,18,2,17,8,10,8,9,17,7,5,14,1,0,12,9,22
U18 Next Gen Team Belgrade,7,BORNA KATANOVIC,4,0,101:52,39,18,26,1,3,0,0,8,11,19,10,9,4,2,3,10,0,52
U18 Next Gen Team Belgrade,8,DANIIL STOLBETSKIY,4,2,71:44,12,4,12,0,6,4,4,6,13,19,8,2,7,0,0,9,3,14
U18 Next Gen Team Belgrade,9,IVAN PRATO,4,2,76:20,17,5,13,2,9,1,2,7,7,14,6,2,6,2,1,9,3,12
U18 Next Gen Team Belgrade,10,THOMAS ACUNZO,4,0,71:32,17,8,14,0,2,1,2,8,15,23,1,2,5,2,1,8,4,26
U18 Next Gen Team Belgrade,11,DJORDJE GULIC,2,0,20:56,5,2,5,0,0,1,2,0,9,9,0,0,0,6,0,0,1,17
U18 Next Gen Team Belgrade,12,KAUR TOMANN,4,4,92:02,44,12,19,4,13,8,11,2,12,14,2,2,5,4,1,6,9,44
U18 Partizan Mozzart Bet Belgrade,1,LUKAS NIKOLA BOJOVIC,3,0,81:13,45,10,14,6,14,7,8,1,6,7,5,10,11,0,0,9,11,45
U18 Partizan Mozzart Bet Belgrade,2,STEFAN ISAILOVIC,4,4,108:38,26,7,12,3,10,3,3,3,9,12,8,7,8,1,4,13,7,24
U18 Partizan Mozzart Bet Belgrade,3,LUCA-IONUT ILLES,1,1,27:27,7,3,4,0,3,1,3,1,4,5,2,1,7,1,0,4,2,1
U18 Partizan Mozzart Bet Belgrade,4,UROS DANILOVIC,3,3,77:02,31,11,24,1,7,6,8,5,9,14,3,3,16,0,5,7,8,10
U18 Partizan Mozzart Bet Belgrade,5,UROS MIJAILOVIC,4,1,82:49,19,5,12,1,9,6,6,1,10,11,7,9,4,1,3,12,9,22
U18 Partizan Mozzart Bet Belgrade,6,ZIVKO MIRKOVIC,4,3,89:34,33,11,22,2,11,5,10,2,6,8,16,3,10,0,2,5,18,36
U18 Partizan Mozzart Bet Belgrade,7,ALEKSA KOJIC,4,1,100:01,25,7,13,2,10,5,10,1,11,12,2,3,6,0,4,10,9,12
U18 Partizan Mozzart Bet Belgrade,8,MATIJA PRELEVIC,4,3,29:46,3,1,4,0,0,1,2,2,6,8,0,0,1,0,0,1,2,7
U18 Partizan Mozzart Bet Belgrade,9,SIBIN GUJANICIC,2,0,26:33,7,3,9,0,2,1,1,1,2,3,1,1,2,0,2,3,1,-2
U18 Partizan Mozzart Bet Belgrade,10,DARIS SIJARIC,4,4,114:56,54,20,44,1,4,11,17,18,18,36,5,3,7,2,4,8,14,62
U18 Partizan Mozzart Bet Belgrade,11,MARKO JOVANOVIC,3,0,32:02,2,1,8,0,0,0,0,5,5,10,0,3,4,0,2,2,2,2
U18 Partizan Mozzart Bet Belgrade,12,IGOR SUSA,3,0,29:59,6,3,5,0,0,0,0,0,3,3,1,0,0,1,1,5,1,4
U18 Pole France INSEP Paris,1,MATTHYS MAHOP,4,4,84:07,28,7,17,1,4,11,13,6,11,17,17,4,10,0,2,7,12,44
U18 Pole France INSEP Paris,2,HUGO YIMGA MOUKOURI,4,4,113:31,68,20,33,3,14,19,24,5,18,23,7,3,9,0,2,10,14,65
U18 Pole France INSEP Paris,3,YANNIS ALLARD,3,0,24:39,14,4,5,2,4,0,0,0,5,5,3,5,2,0,0,2,2,22
U18 Pole France INSEP Paris,4,NATHAN SOLIMAN,4,4,119:58,45,15,22,3,11,6,12,4,18,22,7,5,5,2,0,5,10,60
U18 Pole France INSEP Paris,5,ELIE NTOWOA,4,0,53:45,1,0,7,0,0,1,1,3,5,8,1,0,2,0,0,8,1,-6
U18 Pole France INSEP Paris,6,CAMERON HOUINDO,4,4,87:57,48,19,35,1,5,7,14,13,7,20,5,8,7,3,0,11,12,51
U18 Pole France INSEP Paris,7,NATEO GABRIEL DES BORDES,4,0,53:04,10,2,4,2,12,0,2,0,2,2,9,1,5,0,0,5,6,4
U18 Pole France INSEP Paris,8,NOA KOUAKOU-HEUGUE,4,4,124:42,62,20,36,1,3,19,24,11,21,32,10,3,9,3,3,10,19,84
U18 Pole France INSEP Paris,9,MEISSA FAYE,4,0,67:30,22,6,12,2,13,4,4,4,13,17,5,3,6,3,1,6,5,25
U18 Pole France INSEP Paris,10,KENY VADO,3,0,13:07,4,1,2,0,0,2,2,1,2,3,0,1,2,0,0,3,1,3
U18 Pole France INSEP Paris,11,YAEL MASDIEU-REYNAERT,4,0,42:51,13,3,6,2,6,1,2,1,2,3,7,1,4,0,1,3,2,10
U18 Pole France INSEP Paris,12,JUNIOR ELOUMA,4,0,64:49,10,3,8,1,4,1,2,3,10,13,8,7,5,2,0,2,6,30
